Wall Serial Number,Test Serial Number,Specimen Name,Year_Appr,Section Type,t_w(mm),l_w(mm),A(mm?),h_w(mm),End Region,End stirrup,l_end(mm),l_web(mm),c(mm),fcu(MPa),fc∩(MPa),fct(Mpa),ft(Mpa),Web_V_Layers,Web_V1_Type,Web_V1_d(mm),Web_V1_Number,Web_V1_fy(Mpa),Web_V1_fu(Mpa),Web_V1_汍su,Web_V2_Type,Web_V2_d(mm),Web_V2_Number,Web_V2_fy(Mpa),Web_V2_fu(Mpa),Web_V2_汍su,Web_V_s(mm),Web_V_老,Web_H_Layers,Web_H1_Type,Web_H1_d(mm),Web_H1_fy(Mpa),Web_H1_fu(Mpa),Web_H1_汍su,Web_H2_Type,Web_H2_d(mm),Web_H2_fy(Mpa),Web_H2_fu(Mpa),Web_H2_汍su,Web_H_s(mm),Web_H_老,Web_H_老_other,Web_H_老_all,End_V_Layers,End_V1_Type,End_V1_d(mm),End_V1_Number,End_V1_fy(MPa),End_V1_fu(Mpa),End_V1_汍su,End_V2_Type,End_V2_d(mm),End_V2_Number,End_V2_fy(Mpa),End_V2_fu(Mpa),End_V2_汍su,End_V_老,Confine_Type,Conf_C_Type,Conf_C_Lx(mm),Conf_C_Asx(mm?),Conf_C_Ly(mm),Conf_C_Asy(mm?),Conf_C_s(mm),Conf_C_Acor(mm?),Conf_C_fy(Mpa),Conf_C_fu(Mpa),Conf_C_汍su,Conf_C_老v,Conf_C_老v_other,Conf_C_老v_all,Splice_Type,Splice_Base_Height,Splice_Length,h_load,Failure Mode,Specific_Failure,h_displacement,竹_Shear Span Ratio,P_Axial LoadㄗkNㄘ,n_(fc∩)Axial Load Ratio
SDB_R0004,SDBT_0001,PW4,2011,R,152mm,3048mm,464515mm?,3658mm,Yes,Yes,508mm,2032mm,13mm,36.82MPa,29.45MPa,2.86MPa,,2,Deformed,6mm,26,521.93MPa,583.30MPa,0,,,,,,,152mm,0.00266,2,Deformed,6mm,521.93MPa,583.30MPa,0,,,,,,152.4000mm,0.00273,,0.00273,3,Deformed,13mm,21,462.64MPa,754.98MPa,0,,,,,,,0.03436,,,483mm,63mm?,127mm,222mm?,51mm,57460mm?,521.93MPa,583.30MPa,0,0.020117,,0.02012,Lap Splice,0.00mm,609.60mm,1219.20;2438.40,F-S,,3660mm,2.081,1601kN,0.1170
SDB_R0001,SDBT_0001,PW1,2011,R,152mm,3048mm,464515mm?,3658mm,Yes,Yes,533mm,1981mm,25mm,45.08MPa,36.07MPa,3.27MPa,3.38MPa,2,Deformed,6mm,26,521.93MPa,583.30MPa,0,,,,,,,152mm,0.00273,2,Deformed,6mm,521.93MPa,583.30MPa,0,,,,,,152.4000mm,0.00273,,0.00273,3,Deformed,13mm,21,579.16MPa,694.99MPa,0,,,,,,,0.03272,3,Deformed,483mm,63mm?,127mm,222mm?,51mm,57460mm?,521.93MPa,583.30MPa,0,0.020117,,0.02012,Lap Splice,0.00mm,609.60mm,1219.20;2438.40,F-S,,3660mm,2.842,1597kN,0.0953
SDB_R0002,SDBT_0001,PW2,2011,R,152mm,3048mm,464515mm?,3658mm,Yes,Yes,508mm,2032mm,13mm,50.36MPa,40.29MPa,3.53MPa,,2,Deformed,6mm,26,521.93MPa,583.30MPa,0,,,,,,,152mm,0.00266,2,Deformed,6mm,521.93MPa,583.30MPa,0,,,,,,152.4000mm,0.00273,,0.00273,3,Deformed,13mm,21,579.16MPa,694.99MPa,0,,,,,,,0.03436,,Deformed,483mm,63mm?,127mm,222mm?,51mm,57460mm?,521.93MPa,583.30MPa,0,0.020117,,0.02012,Lap Splice,0.00mm,609.60mm,1219.20;2438.40,F-S,,3660mm,2.161,2429kN,0.1298
SDB_R0003,SDBT_0001,PW3,2011,R,152mm,3048mm,464515mm?,3658mm,Yes,Yes,591mm,1867mm,13mm,42.92MPa,34.34MPa,3.17MPa,,2,Deformed,13mm,34,353.70MPa,490.91MPa,0,,,,,,,108mm,0.01514,2,Deformed,6mm,521.93MPa,583.30MPa,0,,,,,,152.4000mm,0.00273,,0.00273,3,Deformed,13mm,14,353.70MPa,537.10MPa,0,,,,,,,0.01970,,Deformed,565mm,63mm?,127mm,190mm?,44mm,67419mm?,521.93MPa,583.30MPa,0,0.019997,,0.02000,Lap Splice,0.00mm,609.60mm,1219.20;2438.40,F-S,,3660mm,2.041,1601kN,0.1004
SDB_R0005,SDBT_0002,W1-SR,2017,R,150mm,1000mm,150000mm?,2200mm,Yes,Yes,200mm,600mm,40mm,38.13MPa,30.50MPa,2.93MPa,,2,Deformed,11mm,6,425.00MPa,615.00MPa,0,,,,,,,150mm,0.00669,2,Deformed,11mm,425.00MPa,615.00MPa,0,,,,,,150.0000mm,0.00891,,0.00790,2,Deformed,11mm,4,425.00MPa,615.00MPa,0,,,,,,,0.01337,,Deformed,154mm,201mm?,104mm,201mm?,75mm,13205mm?,,,,0.052210,,0.05221,No,,,2400,F,,2400mm,2.400,0kN,0.0000
SDB_R0006,SDBT_0002,W2-NR,2017,R,150mm,1000mm,150000mm?,2200mm,Yes,Yes,200mm,600mm,40mm,39.50MPa,31.60MPa,3.00MPa,,2,Deformed,11mm,6,425.00MPa,615.00MPa,0,,,,,,,150mm,0.00669,2,Deformed,11mm,425.00MPa,615.00MPa,0,,,,,,150.0000mm,0.00891,,0.00790,2,Plain,13mm,4,380.00MPa,658.00MPa,0,,,,,,,0.01689,,Deformed,155mm,201mm?,105mm,201mm?,75mm,13536mm?,,,,0.051486,,0.05149,Yes,800.00mm,150.00mm,2400,SS,,2400mm,2.400,0kN,0.0000
SDB_R0007,SDBT_0003,W1,2007,R,100mm,700mm,70000mm?,1600mm,Yes,No,100mm,500mm,10mm,34.25MPa,27.40MPa,2.73MPa,,2,Deformed,8mm,6,441.50MPa,593.70MPa,0,,,,,,,135mm,0.00603,2,Deformed,5mm,607.00MPa,667.00MPa,0,,,,,,90.0000mm,0.00436,,0.00442,2,Deformed,10mm,4,451.10MPa,636.80MPa,0,,,,,,,0.03142,,,,,,,,,,,,,,,No,,,1750,F,FC,1750mm,2.500,287kN,0.1498
SDB_R0008,SDBT_0003,W2,2007,R,100mm,700mm,70000mm?,1600mm,Yes,No,100mm,500mm,10mm,34.25MPa,27.40MPa,2.73MPa,,2,Deformed,8mm,6,460.60MPa,618.40MPa,0,,,,,,,135mm,0.00603,2,Deformed,5mm,600.30MPa,661.50MPa,0,,,,,,90.0000mm,0.00436,,0.00442,2,Deformed,10mm,4,438.20MPa,719.70MPa,0,,,,,,,0.03142,,,,,,,,,,,,,,,No,,,1750,F,FC,1750mm,2.500,479kN,0.2497
SDB_R0009,SDBT_0003,W3,2007,R,100mm,700mm,70000mm?,1600mm,Yes,No,100mm,500mm,10mm,34.25MPa,27.40MPa,2.73MPa,,2,Deformed,8mm,6,434.80MPa,584.70MPa,0,,,,,,,135mm,0.00603,2,Deformed,5mm,619.50MPa,664.50MPa,0,,,,,,90.0000mm,0.00436,,0.01010,2,Deformed,10mm,4,518.30MPa,670.36MPa,0,,,,,,,0.03142,,,,,,,,,,,,,,,No,,,1750,F,FC,1750mm,2.500,672kN,0.3502
SDB_R0010,SDBT_0004,Specimen 1,2012,R,100mm,1000mm,100000mm?,1500mm,Yes,No,100mm,800mm,14mm,19.38MPa,15.50MPa,1.86MPa,,2,Plain,6mm,8,325.00MPa,420.00MPa,,,,,,,,250mm,0.00283,2,Plain,6mm,325.00MPa,420.00MPa,,,,,,,400.0000mm,0.00141,,0.00151,2,Deformed,16mm,4,425.00MPa,520.00MPa,,,,,,,,0.08042,,,,,,,,,,,,,,,No,,,1650,S,DC,1650mm,1.650,0kN,0.0000
